epoch,train_loss,test_accuracy,epoch_time_seconds
1,1.919493446544725,0.3998,20.839993953704834
2,1.6116648742130824,0.456,2.5573222637176514
3,1.4589675847364931,0.5043,2.790386199951172
4,1.360909296541798,0.5144,2.5119619369506836
5,1.2983215925644855,0.555,2.527704954147339
6,1.2474118531966696,0.5848,2.692361831665039
7,1.1985542932335211,0.5811,2.5973899364471436
8,1.1577962989709816,0.5977,2.6387362480163574
9,1.1166599027964534,0.614,2.699577808380127
10,1.0871154179378433,0.5926,2.6908891201019287
11,1.0524228963316704,0.6213,2.5890896320343018
12,1.0249923777823546,0.6341,2.5068252086639404
13,1.0132112503051758,0.6432,3.144364595413208
14,0.986910344994798,0.6543,3.6339454650878906
15,0.9648794008761036,0.6599,2.946902275085449
16,0.9475070232031296,0.6756,2.8733112812042236
17,0.9417552820273808,0.6727,3.161386251449585
18,0.9078412469552488,0.6711,3.0648257732391357
19,0.8969314061865514,0.6779,2.6590771675109863
20,0.8853707356112344,0.6884,2.6129488945007324
21,0.8658325167334809,0.6941,2.5721683502197266
22,0.8535668618825017,0.6944,2.6241133213043213
23,0.84788736092801,0.6834,3.049017906188965
24,0.8314888373929628,0.691,2.9839630126953125
25,0.8143593595952404,0.7004,3.0829386711120605
