epoch,train_loss,test_accuracy,epoch_time_seconds
1,1.8750903898355913,0.3894,18.90461015701294
2,1.688421368598938,0.407,1.911849021911621
3,1.6171504137467365,0.4336,1.9230003356933594
4,1.5763655195430832,0.4367,1.954052448272705
5,1.5340765593003254,0.4463,1.9005985260009766
6,1.5094798000491396,0.451,1.9469332695007324
7,1.4845388251907972,0.4569,1.895232915878296
8,1.4598332327239367,0.4623,1.9093854427337646
9,1.4446211724865192,0.4701,1.9218363761901855
10,1.4272487637948017,0.4816,1.9282431602478027
11,1.416632596327334,0.4795,1.9021363258361816
12,1.398562256170779,0.4865,1.9279453754425049
13,1.3873622648570003,0.4831,1.8927631378173828
14,1.3787808004690676,0.4922,1.9277064800262451
15,1.3654269673386399,0.503,2.021050453186035
16,1.359496752826535,0.4883,2.108502149581909
17,1.3490516360925169,0.4949,2.0062785148620605
18,1.3326820889297797,0.4812,1.9519851207733154
19,1.334038291658674,0.4955,2.0292556285858154
20,1.322769930168074,0.4999,1.9516286849975586
21,1.3087113195536089,0.4959,1.9819071292877197
22,1.3074389087910554,0.4868,2.083451986312866
23,1.3040354677609034,0.4949,2.3617210388183594
24,1.3009187372363344,0.4907,2.1002373695373535
25,1.2910677145938485,0.5049,2.289778470993042
