epoch,train_loss,test_accuracy,epoch_time_seconds
1,2.8736138222168903,0.3112,21.634308576583862
2,1.886050861708972,0.3382,2.8521978855133057
3,1.7723607274950768,0.3384,2.570072650909424
4,1.722940236938243,0.3563,2.5355074405670166
5,1.6910136621825549,0.3564,2.445211410522461
6,1.6657804104746605,0.3733,2.9584131240844727
7,1.6367180420427907,0.3647,2.375566005706787
8,1.6186006920678275,0.3903,2.4085378646850586
9,1.6046410786862275,0.3862,2.6033971309661865
10,1.5797018056013146,0.3798,2.717374324798584
11,1.5660341917252054,0.3804,2.449284553527832
12,1.5576590871324345,0.3993,2.628812313079834
13,1.5499799823274418,0.4108,2.4396145343780518
14,1.537798855985914,0.3829,2.4884872436523438
15,1.5396306368769432,0.3964,2.7689478397369385
16,1.528825240475791,0.3977,2.5077219009399414
17,1.5330357697545265,0.4109,2.455380916595459
18,1.5241173226006177,0.4055,2.497889280319214
19,1.5141972960258017,0.4127,2.6885135173797607
20,1.5180548356503856,0.4096,2.571978807449341
21,1.523076672943271,0.4036,2.420405387878418
22,1.513164044642935,0.4265,2.55729603767395
23,1.5148908666202001,0.4156,2.682403802871704
24,1.515201901902958,0.4057,2.3586888313293457
25,1.5158716780798775,0.4241,2.5000393390655518
